evidence_id,claim_id,status,claim,source_type,evidence_path,citation_key,source_locator,run_id,owner,verified_by,verified_at,notes
E001,C001,pending,"Mineral carbonation at hydrated interfaces couples multiple molecular-scale steps.",review,,qomi2022mineralization,,,Shawn,,,"Bibliographic metadata verified by Shawn Zhang on 2026-09-04; a claim-specific full-text locator remains pending. Not HAP-specific performance evidence."
E002,C002,pending,"MatterGen provides diffusion-based generation of inorganic crystal structures.",primary_publication,,zeni2025mattergen,,,Shawn,,,"Bibliographic metadata verified by Shawn Zhang on 2026-09-04; a claim-specific full-text locator remains pending."
E003,C003,pending,"MACE uses higher-order equivariant message passing for atomistic force fields.",primary_publication,,batatia2022mace,,,Shawn,,,"Bibliographic metadata verified by Shawn Zhang on 2026-09-04; a claim-specific full-text locator remains pending. Does not validate transfer to HAP-CO2."
E004,C004,planned,"The repository will screen apatite compositions and facets before high-fidelity validation.",repository,README.md,,,,Shawn,,,"Study design only; not a completed result."
E005,C005,pending,"Deep Potential represents potential-energy surfaces with symmetry-preserving neural models trained against ab initio data.",primary_publication,,zhang2018deep,,,Shawn,,,"Bibliographic metadata verified by Shawn Zhang on 2026-09-04; a claim-specific full-text locator remains pending."
E006,C006,pending,"CP2K supports electronic-structure and molecular-dynamics calculations for periodic condensed-phase systems.",primary_publication,,kuhne2020cp2k,,,Shawn,,,"Bibliographic metadata verified by Shawn Zhang on 2026-09-04; a claim-specific full-text locator remains pending."
E007,C007,pending,"pymatgen provides crystallographic operations used for surface construction.",primary_publication,,ong2013pymatgen,,,Shawn,,,"Bibliographic metadata verified by Shawn Zhang on 2026-09-04; a claim-specific full-text locator remains pending; claim-specific support for surface construction has not been established."
E008,C008,pending,"LAMMPS provides a molecular-dynamics engine for planned scale-up simulations.",primary_publication,,plimpton1995lammps,,,Shawn,,,"Bibliographic metadata verified by Shawn Zhang on 2026-09-04; a claim-specific full-text locator remains pending."
E009,C009,pending,"PLUMED-compatible protocols can be used for planned enhanced-sampling calculations.",primary_publication,,bonomi2019plumed,,,Shawn,,,"Bibliographic metadata, including consortium-author representation, verified by Shawn Zhang on 2026-09-04; a claim-specific full-text locator remains pending."
E010,R1,pending,"Generated candidate validity, novelty, stability, and survivor counts.",computational_artifact,,,,,Shawn,,,"Expected generation outputs are absent. Requires a run manifest and verified summary."
E011,R2,pending,"Relative adsorption ranking across composition and facet.",computational_artifact,,,,,Shawn,,,"Screening implementation and results are absent. Define energy convention and failed-run handling first."
E012,R3,pending,"System-specific MLIP accuracy and production stability.",computational_artifact,,,,,Shawn,,,"No qualifying dataset or model exists. Record split design, units, seeds, and go/no-go threshold."
E013,R4,pending,"Hydrated-interface dynamics and free-energy mechanism.",computational_artifact,,,,,Shawn,,,"No qualifying hydrated-interface or enhanced-sampling result exists."
E014,X001,rejected,"Legacy HAP112 postprocessing figures support thermodynamic, structural, or mechanistic findings.",computational_artifact,4.PostProcess_Analysis/HAP112_DPA_NVTcsvr_Succeeded,,,,Shawn,,,"Rejected for manuscript use: raw inputs are absent, QC reports poor quality, and legacy RDF fallback could synthesize scientific-looking data."
E015,C010,pending,"HAP facet identity and surface termination affect the structure of the hydrated interface.",primary_publication,,astala2008hapwater,,,Shawn,,,"Candidate identified for outline gap G01; metadata verification and a claim-specific full-text locator are pending."
E016,C010,pending,"HAP facet identity and surface termination affect the structure of the hydrated interface.",primary_publication,,corno2009water,,,Shawn,,,"Candidate identified for outline gap G01; metadata verification and a claim-specific full-text locator are pending."
E017,C010,pending,"HAP facet identity and surface termination affect the structure of the hydrated interface.",primary_publication,,wang2018hapsurface,,,Shawn,,,"Candidate identified for outline gap G01; metadata verification and a claim-specific full-text locator are pending."
E018,C010,pending,"HAP facet identity and surface termination affect the structure of the hydrated interface.",primary_publication,,peccati2018carbonated,,,Shawn,,,"Candidate identified for outline gap G01; metadata verification and a claim-specific full-text locator are pending."
E019,C011,pending,"CO2 adsorption or carbonate-forming response has been reported for HAP or closely related apatite materials.",primary_publication,,cheng1998co2,,,Shawn,,,"Candidate identified for outline gap G02; metadata verification and a claim-specific full-text locator are pending."
E020,C011,pending,"CO2 adsorption or carbonate-forming response has been reported for HAP or closely related apatite materials.",primary_publication,,bouharras2025apatiteco2,,,Shawn,,,"Candidate identified for outline gap G02; metadata verification and a claim-specific full-text locator are pending."
E021,C011,pending,"CO2 adsorption or carbonate-forming response has been reported for HAP or closely related apatite materials.",primary_publication,,nowicki2024capture,,,Shawn,,,"High-temperature boundary candidate for outline gap G02; it must not support hydrated-interface wording unless full-text review establishes relevance."
E022,C011,pending,"CO2 adsorption or carbonate-forming response has been reported for HAP or closely related apatite materials.",primary_publication,,mekhemer2019co2,,,Shawn,,,"Candidate identified for outline gap G02; metadata verification and a claim-specific full-text locator are pending."
